Title,producers,winner,year,BoxOffice,Country,Director,Genre,Plot,Production,Rated,Ratings,Runtime,Year,imdbRating,imdbVotes,BAFTA,NBRA,GOLDENGLOBE,SATELLITE,DGA,tag
Love Affair,['RKO Radio'],False,1939,N/A,USA,Glenn Gordon Caron,"Comedy, Drama, Romance","Ex-football star Mike Gambril meets Terry McKay on a flight to Sydney, which is forced to land on a small atoll. Both engaged to others, they become romantic on board the ship sent to take the 'plane passengers to a larger island. They agree to meet in New York three months later to see if the attraction is real. One shows up, the other doesn't, but they run into each other afterwards.",Warner Home Video,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",108 min,1994,5.9,"4,132",False,False,False,False,False,none
Mr. Smith Goes to Washington,['Columbia'],False,1939,N/A,USA,Frank Capra,"Comedy, Drama","Naive and idealistic Jefferson Smith, leader of the Boy Rangers, is appointed on a lark by the spineless governor of his state. He is reunited with the state's senior senator--presidential hopeful and childhood hero, Senator Joseph Paine. In Washington, however, Smith discovers many of the shortcomings of the political process as his earnest goal of a national boys' camp leads to a conflict with the state political boss, Jim Taylor. Taylor first tries to corrupt Smith and then later attempts to destroy Smith through a scandal.",ITVS,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",129 min,1939,8.2,"96,857",False,False,False,False,False,Politics
Ninotchka,['Metro-Goldwyn-Mayer'],False,1939,N/A,USA,Ernst Lubitsch,"Comedy, Romance","Only the royal suite at the grandest hotel in Paris has a safe large enough for the jewels of the Grand Duchess Swana. So the three Russians who have come to sell the jewels settle into the suite until a higher ranking official is dispatched to find out what is delaying the sale. She is Ninotchka, a no nonsense woman who fascinates Count Leon who had been the faithful retainer of the Grand Duchess. The Grand Duchess will give up all claim to the jewels if Ninotchka will fly away from the count.",Warner Bros. Pictures,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",110 min,1939,8.0,"16,761",False,False,False,False,False,"Cold War, Russia"
Of Mice and Men,['Hal Roach (production company)'],False,1939,N/A,USA,Gary Sinise,Drama,"Two traveling companions, George and Lennie, wander the country during the Depression, dreaming of a better life for themselves. Then, just as heaven is within their grasp, it is inevitably yanked away. The film follows Steinbeck's novel closely, exploring questions of strength, weakness, usefulness, reality and utopia, bringing Steinbeck's California vividly to life.",Metro-Goldwyn-Mayer Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",115 min,1992,7.5,"36,908",False,False,False,False,False,none
Stagecoach,['Walter Wanger (production company)'],False,1939,N/A,USA,John Ford,"Adventure, Drama, Western","A simple stagecoach trip is complicated by the fact that Geronimo is on the warpath in the area. The passengers on the coach include a drunken doctor, two women, a bank manager who has taken off with his client's money, and the famous Ringo Kid, among others.",Warner Home Video,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",96 min,1939,7.9,"37,488",False,False,False,False,False,none
The Wizard of Oz,['Metro-Goldwyn-Mayer'],False,1939,"$3,840,702",USA,"Victor Fleming, George Cukor, Mervyn LeRoy, Norman Taurog, King Vidor","Adventure, Family, Fantasy, Musical","In this charming film based on the popular L. Frank Baum stories, Dorothy and her dog Toto are caught in a tornado's path and somehow end up in the land of Oz. Here she meets some memorable friends and foes in her journey to meet the Wizard of Oz who everyone says can help her return home and possibly grant her new friends their goals of a brain, heart and courage.",Warner Bros. Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '100/100'}]",102 min,1939,8.0,"348,211",False,False,False,False,False,none
Wuthering Heights,['Samuel Goldwyn Productions'],False,1939,N/A,USA,William Wyler,"Drama, Romance","The story of unfortunate lovers Heathcliff and Cathy who, despite a deep affection for one another, are forced by circumstance and prejudice to live their apart. Heathcliff and Cathy first meet as children when her father brings the abandoned boy to live with them. When the old man dies several years later Cathy's brother, now the master of the estate, turns Heathcliff out forcing him to live with the servants and working as a stable boy. The barrier of class comes between them and she eventually marries a rich neighbor, Mr. Edgar Linton, at which point Heathcliff disappears. He returns several years later, now a rich man but little can be done.",United Artists,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}]",104 min,1939,7.7,"14,679",False,False,False,False,False,none
Rebecca,['Selznick International Pictures'],True,1940,N/A,USA,Alfred Hitchcock,"Drama, Mystery, Romance, Thriller","A shy ladies' companion, staying in Monte Carlo with her stuffy employer, meets the wealthy Maxim de Winter. She and Max fall in love, marry and return to Manderley, his large country estate in Cornwall. Max is still troubled by the death of his first wife, Rebecca, in a boating accident the year before. The second Mrs. de Winter clashes with the housekeeper, Mrs. Danvers, and discovers that Rebecca still has a strange hold on everyone at Manderley.",United Artists,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",130 min,1940,8.1,"109,320",False,False,False,False,False,Mrs. DeWinter
"All This, and Heaven Too",['Warner Bros.'],False,1940,N/A,USA,Anatole Litvak,"Drama, Romance","When lovely and virtuous governess Henriette Deluzy comes to educate the children of the debonair Duc de Praslin, a royal subject to King Louis-Philippe and the husband of the volatile and obsessive Duchesse de Praslin, she instantly incurs the wrath of her mistress, who is insanely jealous of anyone who comes near her estranged husband. Though she saves the duchess's little son from a near-death illness and warms herself to all the children, she is nevertheless dismissed by the vengeful duchess. Meanwhile, the attraction between the duke and Henriette continues to grow, eventually leading to tragedy.",Warner Bros. Pictures,Approved,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}]",141 min,1940,7.6,"3,865",False,False,False,False,False,none
Foreign Correspondent,['Walter Wanger (production company)'],False,1940,N/A,USA,Alfred Hitchcock,"Action, Romance, Thriller, War","Johnny Jones is an action reporter on a New York newspaper. The editor appoints him European correspondent because he is fed up with the dry, reports he currently gets. Jones' first assignment is to get the inside story on a secret treaty agreed between two European countries by the famous diplomat, Mr. Van Meer. However things don't go to plan and Jones enlists the help of a young woman to help track down a group of spies.",Warner Home Video,Passed,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}]",120 min,1940,7.6,"16,212",False,False,False,False,False,"Europe, journalism, war"
The Grapes of Wrath,['20th Century-Fox'],False,1940,N/A,USA,John Ford,"Drama, History",Tom Joad returns to his home after a jail sentence to find his family kicked off their farm due to foreclosure. He catches up with them on his uncle's farm and joins them the next day as they head for California and a new life - Hopefully.,20th Century Fox Film Corporation,Passed,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '95/100'}]",129 min,1940,8.1,"79,732",False,True,False,False,False,none
The Great Dictator,['Charles Chaplin Productions'],False,1940,N/A,USA,Charles Chaplin,"Comedy, Drama, War","Twenty years after the end of WWI in which the nation of Tomainia was on the losing side, Adenoid Hynkel has risen to power as the ruthless dictator of the country. He believes in a pure Aryan state, and the decimation of the Jews. This situation is unknown to a simple Jewish-Tomainian barber who has since been hospitalized the result of a WWI battle. Upon his release, the barber, who had been suffering from memory loss about the war, is shown the new persecuted life of the Jews by many living in the Jewish ghetto, including a washerwoman named Hannah, with whom he begins a relationship. The barber is ultimately spared such persecution by Commander Schultz, who he saved in that WWI battle. The lives of all Jews in Tomainia are eventually spared with a policy shift by Hynkel himself, who is doing so for ulterior motives. But those motives include a want for world domination, starting with the invasion of neighboring Osterlich, which may be threatened by Benzino Napaloni, the dictator of neighboring Bacteria. Ultimately Schultz, who has turned traitor against Hynkel's regime, and the barber, may be able to join forces to take control of the situation, they using Schultz's inside knowledge of the workings of the regime and the barber's uncanny resemblance to one of those in power.",Criterion Collection,Passed,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",125 min,1940,8.5,"176,811",False,False,False,False,False,none
Kitty Foyle,['RKO Radio'],False,1940,N/A,USA,Sam Wood,"Drama, Romance","A white collar worker from a blue collar family, Kitty Foyle has spent her so far short adult life in her hometown of Philadelphia or New York City. She has had two serious relationships, one associated with each city and each man with who she falls in love but in vastly different ways. ""Philadelphia"" is blue blooded Wyn Strafford VI. Wyn hires Kitty to be his secretary, he the editor for his pet project, a magazine, which is funded by family money. Kitty's now deceased father, despite liking Wyn as a person, warned Kitty against falling in love with him, regardless of his outward intentions, as his type always returned to his own kind. If she believes her father, Kitty may come to the realization that if a union with Wyn were to ever happen, it would not only be to him but to his family and their traditions, they who may have some say in the matter. After the magazine folds, it not making any money, Kitty is forced to look for another job, she feeling she would have more opportunities in New York City. Working as a sales associate at upscale Delphine Detaille parfumerie and cosmetics, Kitty meets ""New York City"", Mark Eisen. Mark is a public health doctor who makes little money and thus who is cognizant about how he spends that money, most specifically when he will splurge on the luxuries in life, including on women. Simultaneous, each of the men proposes a future together with her, those futures which would take divergent paths and have different outlooks. Mark, specifically, is aware of there being a ""Philadelphia"" when he asks her to marry him. Kitty has to decide what kind of future she wants for herself in choosing which of the two proposals she will accept.",Media Home Entertainment,APPROVED,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}]",108 min,1940,7.0,"2,683",False,False,False,False,False,none
The Letter,['Warner Bros.'],False,1940,N/A,USA,William Wyler,"Crime, Drama, Film-Noir, Mystery, Romance","The wife of a rubber plantation administrator shoots a man to death and claims it was self-defense. Her poise, graciousness and stoicism impress nearly everyone who meets her. Her husband is certainly without doubt; so is the district officer; while her lawyer's doubts may be a natural skepticism. But this is Singapore and the resentful natives will have no compunction about undermining this accused murderess. A letter in her hand turns up and may prove her undoing.",MGM Home Entertainment,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",95 min,1940,7.7,"10,242",False,False,False,False,False,none
The Long Voyage Home,['Argosy-Wanger'],False,1940,N/A,USA,John Ford,"Drama, War","Aboard the freighter Glencairn, the lives of the crew are lived out in fear, loneliness, suspicion and cameraderie. The men smuggle drink and women aboard, fight with each other, spy on each other, comfort each other as death approaches, and rescue each other from danger.",Criterion Collection,Approved,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",105 min,1940,7.0,"3,361",False,False,False,False,False,none
Our Town,['Sol Lesser (production company)'],False,1940,N/A,USA,Sam Wood,"Drama, Romance","Change comes slowly to a small New Hampshire town in the early 20th century. People grow up, get married, live, and die. Milk and the newspaper get delivered every morning, and nobody locks their front doors.",United Artists,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}]",90 min,1940,6.8,"1,840",False,False,False,False,False,none
The Philadelphia Story,['Metro-Goldwyn-Mayer'],False,1940,N/A,USA,George Cukor,"Comedy, Romance","Philadelphia socialites Tracy Lord and C.K. Dexter Haven married impulsively, with their marriage and subsequent divorce being equally passionate. They broke up when Dexter's drinking became excessive, it a mechanism to cope with Tracy's unforgiving manner to the imperfect, imperfections which Dexter admits he readily has. Two years after their break-up, Tracy is about to remarry, the ceremony to take place at the Lord mansion. Tracy's bridegroom is nouveau riche businessman and aspiring politician George Kittredge, who is otherwise a rather ordinary man and who idolizes Tracy. The day before the wedding, three unexpected guests show up at the Lord mansion: Macaulay Connor (Mike to his friends), Elizabeth Imbrie - the two who are friends of Tracy's absent brother, Junius- and Dexter himself. Dexter, an employee of the tabloid Spy magazine, made a deal with its publisher and editor Sidney Kidd to get a story on Tracy's wedding - the wedding of the year - in return for Kidd not publishing a salacious story with accompanying photographs of Tracy's father, Seth Lord, with a New York showgirl named Tina Marra. In reality, Mike and Liz are the reporter and photographer respectively for Spy. Mike and Liz don't particularly like this assignment or working for Kidd, but they need to make a living as their chosen other fields as serious writer and painter don't pay the bills. A suspicious Tracy is onto them, the entire truth which Dexter admits to her. Tracy decides to turn the tables on Mike and Liz. However, hours before the wedding, as the more self-assured Dexter and Liz get to work on how to get the Lords out from under Spy's threats, Tracy and Mike, both inebriated, go on a journey of self-discovery with Tracy ultimately coming to her realizations a little faster than Mike.",MGM,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '96/100'}]",112 min,1940,8.0,"57,903",False,False,False,False,False,none
How Green Was My Valley,['20th Century-Fox'],True,1941,N/A,USA,John Ford,"Drama, Family","Life is hard in a Welsh mining town and no less so for the Morgan family. Seen through the eyes of the family's youngest, Huw, we learn of the family's trials and tribulations. Family patriarch Gwilym and his older sons work in the mines, dangerous and unhealthy as it is. Gwilym has greater hopes for his youngest son, but Huw has his own ideas on how to honor his father. Daughter Angharad is the most beautiful girl in the valley and is very much in love with Mr. Gruffydd, who isn't sure he can provide her the life she deserves. Times are hard and good men find themselves out of work and exploited by unseen mine owners.",Twentieth Century Fox Home Entertainment,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}]",118 min,1941,7.8,"18,706",False,False,False,False,False,none
Blossoms in the Dust,['Metro-Goldwyn-Mayer'],False,1941,N/A,USA,Mervyn LeRoy,"Biography, Drama, Romance","Edna marries Texan Sam Gladney, operator of a wheat mill. Edna discovers by chance how the law treats children who are without parents and decides to do something about it. She opens a home for foundlings and orphans and begins to place children in good homes, despite the opposition of ""conservative"" citizens, who would condemn illegitimate children for being born out of wedlock. Eventually Edna leads a fight in the Texas legislature to remove the stigma of illegitimacy from birth records in that state, while continuing to be an advocate for homeless children.",WARNER BROTHERS PICTURES,Approved,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}]",99 min,1941,7.0,"1,511",False,False,False,False,False,none
Citizen Kane,['Mercury'],False,1941,N/A,USA,Orson Welles,"Drama, Mystery","A group of reporters are trying to decipher the last word ever spoken by Charles Foster Kane, the millionaire newspaper tycoon: ""Rosebud."" The film begins with a news reel detailing Kane's life for the masses, and then from there, we are shown flashbacks from Kane's life. As the reporters investigate further, the viewers see a display of a fascinating man's rise to fame, and how he eventually fell off the top of the world.",RKO Radio Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '100/100'}]",119 min,1941,8.3,"358,339",False,True,False,False,False,Rosebud
Here Comes Mr. Jordan,['Columbia'],False,1941,N/A,USA,Alexander Hall,"Fantasy, Comedy, Romance","Boxer Joe Pendleton, flying to his next fight, crashes...because a Heavenly Messenger, new on the job, snatched Joe's spirit prematurely from his body. Before the matter can be rectified, Joe's body is cremated; so the celestial Mr. Jordan grants him the use of the body of wealthy Bruce Farnsworth, who's just been murdered by his wife. Joe tries to remake Farnsworth's unworthy life in his own clean-cut image, but then falls in love; and what about that murderous wife?",Sony Pictures Entertainment,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",94 min,1941,7.7,"5,129",False,False,False,False,False,none
